Finalejeudi 11 août 04h03
Rang	Athlète	Nation	Perf.	Rec.	
1	Kyle Chalmers	Australie	47''58		
2	Pieter Timmers	Belgique	47''80		
3	Nathan Adrian	Etats-Unis	47''85		
4	Santo Condorelli	Canada	47''88		
5	Duncan Scott	Grande-Bretagne	48''01		
6	Caleb Dressel	Etats-Unis	48''02		
7	Cameron McEvoy	Australie	48''12		
8	Marcelo Chierighini	Brésil	48''41		
Demi-finalesmercredi 10 août 03h03
Série 1
Rang	Athlète	Nation	Perf.	Rec.	
1	Nathan Adrian	Etats-Unis	47''83		Q
2	Cameron McEvoy	Australie	47''93		Q
3	Caleb Dressel	Etats-Unis	47''97		Q
4	Vladimir Morozov	Russie	48''26		
5	Sebastiaan Verschuren	Pays-Bas	48''28		
6	Zetao Ning	Chine	48''37		
7	Luca Dotto	Italie	48''49		
8	Joseph Schooling	Singapour	48''70		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	
1	Kyle Chalmers	Australie	47''88		Q
2	Santo Condorelli	Canada	47''93		Q
3	Pieter Timmers	Belgique	48''14		Q
4	Duncan Scott	Grande-Bretagne	48''20		Q
5	Marcelo Chierighini	Brésil	48''23		Q
6	Yuri Kisil	Canada	48''28		
7	Clément Mignon	France	48''57		
8	Damian Wierling	Allemagne	48''66		
