Finalemercredi 10 août 03h28
Rang	Athlète	Nation	Perf.	Rec.	
1	Michael Phelps	Etats-Unis	1'53''36		
2	Masato Sakai	Japon	1'53''40		
3	Tamas Kenderesi	Hongrie	1'53''62		
4	Chad Le Clos	Afrique du Sud	1'54''06		
5	Daiya Seto	Japon	1'54''82		
6	Viktor Bromer	Danemark	1'55''64		
7	Lazslo Cseh	Hongrie	1'56''24		
8	Louis Croenen	Belgique	1'57''04		
Demi-finalesmardi 9 août 04h10
Série 1
Rang	Athlète	Nation	Perf.	Rec.	
1	Lazslo Cseh	Hongrie	1'55''18		Q
2	Daiya Seto	Japon	1'55''28		Q
3	Masato Sakai	Japon	1'55''32		Q
4	Louis Croenen	Belgique	1'56''03		Q
5	Grant Irvine	Australie	1'56''07		
6	Zheng Wen Quah	Singapour	1'56''11		
7	Kaio Almeida	Brésil	1'57''45		
8	Zhuhao Li	Chine	1'57''62		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	
1	Tamas Kenderesi	Hongrie	1'53''96		Q
2	Michael Phelps	Etats-Unis	1'54''12		Q
3	Chad Le Clos	Afrique du Sud	1'55''19		Q
4	Viktor Bromer	Danemark	1'55''59		Q
5	Evgeny Koptelov	Russie	1'56''46		
6	Simon Sjoedin	Suède	1'56''71		
7	Leonardo De Deus	Brésil	1'56''77		
8	Jonathan Gomez Noriega	Colombie	1'57''47		
Sérieslundi 8 août 18h34
Série 1
Rang	Athlète	Nation	Perf.	Rec.	
1	Simon Sjoedin	Suède	1'56''46		Q
2	Robert Zbogar	Slovénie	1'57''05		
3	Gal Nevo	Israël	1'58''64		
4	Sajan Prakash	Inde	1'59''37		
5	Bradlee Ashby	Nouvelle-Zélande	2'01''22		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	
1	Chad Le Clos	Afrique du Sud	1'55''57		Q
2	Masato Sakai	Japon	1'55''76		Q
3	Zheng Wen Quah	Singapour	1'56''01		Q
4	Evgeny Koptelov	Russie	1'56''13		Q
5	Zhuhao Li	Chine	1'56''72		Q
6	Thomas Shields	Etats-Unis	1'56''93		
7	Daniil Pakhomov	Russie	1'57''36		
8	Jordan Coelho	France	1'58''62		
Série 3
Rang	Athlète	Nation	Perf.	Rec.	
1	Tamas Kenderesi	Hongrie	1'54''73		Q
2	Grant Irvine	Australie	1'55''64		Q
3	Michael Phelps	Etats-Unis	1'55''73		Q
4	Daiya Seto	Japon	1'55''79		Q
5	Louis Croenen	Belgique	1'56''48		Q
6	Stefanos Dimitriadis	Grèce	1'56''76		
7	Carlos Peralta Gallego	Espagne	1'56''98		
8	Yuhang Wu	Chine	1'59''04		
Série 4
Rang	Athlète	Nation	Perf.	Rec.	
1	Lazslo Cseh	Hongrie	1'55''14		Q
2	Viktor Bromer	Danemark	1'55''77		Q
3	Leonardo De Deus	Brésil	1'55''98		Q
4	Kaio Almeida	Brésil	1'56''45		Q
5	Jonathan Gomez Noriega	Colombie	1'56''65		Q
6	Jan Switkowski	Pologne	1'56''73		
7	David Morgan	Australie	1'56''81		
8	Sebastian Rousseau	Afrique du Sud	1'57''33
