Finale 16/08/2016  
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. MILLER	 BAH	49"44		
2	A. FELIX	 USA	49"51		
3	S. JACKSON	 JAM	49"85		
4	N. HASTINGS	 USA	50"34		
5	P. FRANCIS	 USA	50"41		
6	S. McPHERSON	 JAM	50"97		
7	O. ZEMLYAK	 UKR	51"24		
8	L. GRENOT	 ITA	51"25		
Demi-finales 15/08/2016  
Les 2 premières de chaque série + les 2 meilleurs temps qualifiées
Serie 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	P. FRANCIS	 USA	50''31		Q
2	S. McPHERSON	 JAM	50''69		Q
3	O. ZEMLYAK	 UKR	50''75		q
4	K. ADEKOYA	 BRN	50''88		
5	C. OHURUOGU	 GBR	51''22		
6	R. SPELMEYER	 ALL	51''61		
7	M. BAMGBOSE	 NGA	51''92		
8	P. WYCISZKIEWICZ	 POL	52''51		
Serie 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. JACKSON	 JAM	49''83		Q
2	N. HASTINGS	 USA	49''90		Q
3	S. NASER	 BRN	50''88		
4	F. GUEI	 FRA	51''08		
5	C. MUIR	 CAN	51''11		
6	E. DIAMOND	 GBR	51''49		
7	M. HOLUB	 POL	51''93		
8	M. MITCHELL	 AUS	52''68		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	A. FELIX	 USA	49''67		Q
2	S. MILLER	 BAH	49''91		Q
3	L. GRENOT	 ITA	50''60		q
4	C. DAY	 JAM	51''53		
5	J. SWIETY	 POL	51''62		
6	A. RUBIE	 AUS	51''96		
7	K. MUPOPO	 ZAM	52''04		
8	P. GEORGE	 NGA	52''52		
Séries 13/08/2016  
Les 2 premières de chaque série + les 8 meilleurs temps qualifiées
Serie 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. McPHERSON	 JAM	51''36		Q
2	P. GEORGE	 NGA	51''83		Q
3	A. RUBIE	 AUS	51''92		q
4	Y. OLISHEVSKA	 UKR	52''45		
5	D. DANTE	 MLI	52''85		
6	N. NIRMLA	 IND	53''03		
7	G. LATISEVA-CUDARE	 LET	53''08		
Serie 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	A. FELIX	 USA	51''24		Q
2	O. ZEMLYAK	 UKR	51''40		Q
3	T. SALASKI	 SER	52''70		
4	T. THIPE	 AFS	52''80		
5	I. PUTALOVA	 SLQ	52''82		
6	A. BOKESA	 ESP	53''51		
7	S. BUNDY-DAVIES	 GBR	53''63		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	P. FRANCIS	 USA	50''58		Q
2	K. ADEKOYA	 BRN	50''72		Q
3	M. BAMGBOSE	 NGA	51''43		q
4	P. WYCISZKIEWICZ	 POL	52''02		q
5	A. BROWN	 CAN	52''27		
6	J. DE LIMA	 BRE	52''65		
7	J. PALFRAMAN	 AFS	53''96		
Serie 4
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	N. HASTINGS	 USA	51''31		Q
2	C. OHURUOGU	 GBR	51''40		Q
3	M. CHIGBOGLU	 ITA	52''06		
4	L. JELE	 BOT	52''24		
5	O. BIBIK	 UKR	52''33		
6	K. CLARKE	 CAN	53''61		
7	V. KRYEZIU	 KOS	54''30		
Serie 5
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. MILLER	 BAH	51''16		Q
2	M. MITCHELL	 AUS	51''30		Q
3	R. SPELMEYER	 ALL	51''43		q
4	E. DIAMOND	 GBR	51''76		q
5	K. BECKLES	 GRD	52''41		
6	B. RAZOR	 ROU	52''42		
7	K. ALEXANDER	 SVG	52''45		
Serie 6
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. NASER	 BRN	51''06		Q
2	L. GRENOT	 ITA	51''17		Q
3	F. GUEI	 FRA	51''29		q
4	C. AZEVEDO	 POR	52''38		
5	M. KROMAH	 LBR	52''79		
6	T. NGUYEN	 VIE	52''97		
7	I. VASILIOU	 GRE	54''37		
8	M. MUSE	 SOM	1'10''14		
Serie 7
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	S. JACKSON	 JAM	51''73		Q
2	K. MUPOPO	 ZAM	51''76		Q
3	J. SWIETY	 POL	51''82		q
4	C. BOTLOGETSWE	 BOT	52''37		
5	O. OMOTOSO	 NGA	53''22		
6	E. MIKHINA	 KAZ	53''83		
7	D. AL HARITH	 QAT	1'07''12		
Serie 8
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	C. DAY	 JAM	51''54		Q
2	C. MUIR	 CAN	51''57		Q
3	M. HOLUB	 POL	51''80		q
4	A. COUTINHO	 BRE	52''05		
5	A. ABRAMS	 GUY	52''79		
6	M. MAMOUDOU	 NIG	54''32		
-	A. KUDINOVA	 KAZ	56''03
