Finale15/08/2016 
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	W. VAN NIEKERK	AFS	43''03	RM	
2	K. JAMES	GRD	43''76		
3	L. MERRITT	USA	43''85		
4	M. CEDENIO	TRI	44''01		
5	K. SIBANDA	BOT	44''25		
6	A. KHAMIS	BRN	44''36		
7	B. TAPLIN	GRD	44''45		
8	M. HUDSON-SMITH	GBR	44''61		
Demi-finales14/08/2016 
Les 2 premiers de chaque série + les 2 meilleurs temps qualifiés
Serie 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	K. JAMES	GRD	44''02		Q
2	L. MERRITT	USA	44''21		Q
3	K. SIBANDA	BOT	44''47		q
4	L. SANTOS	RDO	44''71		
5	J. FRANCIS	JAM	44''96		
6	N. BRENES	CRI	45''02		
7	L. BONEVACIA	HOL	45''03		
8	L. GORDON	TRI	45''13		
Serie 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	M. CEDENIO	TRI	44''39		Q
2	W. VAN NIEKERK	AFS	44''45		Q
3	P. MASLAK	RTC	45''06		
4	L. JANEZIC	SLQ	45''07		
5	D. VERBURG	USA	45''61		
6	R. McDONALD	JAM	46''12		
7	A. HAROUN	QAT	46''66		
-	B. THEBE	BOT	DNS		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	B. TAPLIN	GRD	44''44		Q
2	M. HUDSON-SMITH	GBR	44''48		Q
3	A. KHAMIS	BRN	44''49		q
4	G. ROBERTS	USA	44''65		
5	S. GARDINER	BAH	44''72		
6	Y. LESCAY	CUB	45''00		
7	R. OMELKO	POL	45''28		
8	I. MAKWALA	BOT	46''60		
Séries13/08/2016 
Les 3 premiers de chaque série + les 3 meilleurs temps qualifiés
Serie 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	M. CEDENIO	TRI	44''98		Q
2	G. ROBERTS	USA	45''27		Q
3	Y. LESCAY	CUB	45''36		Q
4	F. DUNKLEY	JAM	45''66		
5	K. BORLEE	BEL	45''90		
6	A. BRAVO	VEN	46''15		
7	A. SAMPAO	KEN	46''62		
8	O. DJIBO	NIG	50''06		
Serie 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	B. TAPLIN	GRD	45''15		Q
2	N. BRENES	CRI	45''53		Q
3	K. SIBANDA	BOT	45''56		Q
4	M. GALVAN	ITA	46''07		
5	R. KIBET	KEN	46''15		
6	M. ALI	PAK	48''37		
7	B. MAHAMAT	TCA	48''59		
-	A. BESHR	EGY	DQ		
Serie 3
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	W. VAN NIEKERK	AFS	45''26		Q
2	L. SANTOS	RDO	45''61		Q
3	J. FRANCIS	JAM	45''88		Q
4	J. BORLEE	BEL	46''01		
5	A. RUSSELL	BAH	46''23		
6	A. KISHOYIAN	KEN	46''74		
7	B. VALENTINE-PARRIS	SVG	47''62		
Serie 4
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	L. GORDON	TRI	45''24		Q
2	L. JANEZIC	SLQ	45''33		Q
3	B. THEBE	BOT	45''41		Q
4	C. BROWN	BAH	45''56		
5	M. ROONEY	GBR	45''60		
6	J. WALSH	JAP	46''37		
7	G. CUESTA	RDO	46''92		
8	J. CHIENGJIEK	CIO	52''89		
Serie 5
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	L. MERRITT	USA	45''28		Q
2	A. HAROUN	QAT	45''76		Q
3	I. MAKWALA	BOT	45''91		Q
4	V. BUTRYM	UKR	45''92		
5	D. BLAIR-SANFORD	ISR	46''06		
6	D. LENDORE	TRI	46''15		
7	H. ESTEFANI	BRE	46''68		
Serie 6
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	K. JAMES	GRD	44''93		Q
2	R. McDONALD	JAM	45''22		Q
3	M. HUDSON-SMITH	GBR	45''26		Q
4	D. VERBURG	USA	45''48		q
5	W. GEORGE	GUY	45''77		
6	A. ABBAS	BRN	46''01		
7	D. PALOMEQUE	COL	46''48		
Serie 7
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	A. KHAMIS	BRN	45''12		Q
2	S. GARDINER	BAH	45''24		Q
3	L. BONEVACIA	HOL	45''49		Q
4	R. OMELKO	POL	45''54		q
4	P. MASLAK	RTC	45''54		q
6	M. YAHIYA	IND	45''95		
7	O. ERAIYOKAN	NGA	47''42		
8	Y. KANEMARU	JAP	48''38		
