Finalelundi 8 août 04h54				
Rang	Athlète	Nation	Perf.	Rec.
1	C.Dressel, M.Phelps, R.Held, N.Adrian	ETATS-UNIS	3'09''92	
2	M.Metella, F.Gilot, F.Manaudou, J.Stravius	FRANCE	3'10''53	
3	J.Roberts, K.Chalmers, J.Magnussen, C.McEvoy	AUSTRALIE	3'11''37	
4	A.Grechin, D.Izotov, V.Morozov, A.Sukhorukov	RUSSIE	3'11''64	
5	M.Chierighini, N.Nilo, G.Santos, J.De Lucca	BRÉSIL	3'13''21	
6	G.Surgeloose, J.Aerents, E.Vanluchene, P.Timmers	BELGIQUE	3'13''57	
7	S.Condorelli, Y.Kisil, M.Thormeyer, E.Van Moerkerke	CANADA	3'14''35	
8	K.Nakamura, S.Shioura, K.Kobase, J.Koga	JAPON	3'14''48	
Sériesdimanche 7 août 20h05				
Série 1				
Rang				
1				
A.Grechin, A.Popkov, D.Izotov, A.Sukhorukov				
2				
S.Condorelli, Y.Kisil, M.Thormeyer, E.Van Moerkerke				
3				
K.Nakamura, S.Shioura, K.Kobase, J.Koga				
4				
3'14''22	Athlète	Nation	Perf.	Rec.
5	RUSSIE			
3'14''97	3'12''04		Q	
6	CANADA			
3'15''52	3'14''06		Q	
7	JAPON			
3'16''71	3'14''17		Q	
8	ITALIE			
3'17''03				
Série 2	ALLEMAGNE			
Rang				
1	POLOGNE			
J.Feigen, R.Held, B.Pieroni, A.Ervin				
2	ESPAGNE			
J.Magnussen, K.Chalmers, J.Roberts, M.Abood				
3	ROUMANIE			
C.Mignon, W.Meynard, F.Gilot, M.Metella				
4				
M.Chierighini, N.Nilo, G.Santos, M.Santana	Athlète	Nation	Perf.	Rec.
5	ETATS-UNIS			
D.Dekoninck, J.Aerents, G.Surgeloose, P.Timmers	3'12''38		Q	
6	AUSTRALIE			
3'14''62	3'12''65		Q	
7	FRANCE			
3'15''21	3'13''27		Q	
CHINE	BRÉSIL			
DQ	3'14''06		Q	
	BELGIQUE			
	3'14''16		Q	
	GRECE			
				
	HONGRIE			
