Finaledimanche 14 août 03h03
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Pernille Blume	Danemark	24''07		
2	Simone Manuel	Etats-Unis	24''09		
3	Aleksandra Herasimenia	Belarus	24''11		
4	Francesca Halsall	Grande-Bretagne	24''13		
5	Cate Campbell	Australie	24''15		
6	Ranomi Kromowidjojo	Pays-Bas	24''19		
7	Bronte Campbell	Australie	24''42		
8	Etiene Medeiros	Brésil	24''69		
Demi-finalessamedi 13 août 03h59
Série 1
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Francesca Halsall	Grande-Bretagne	24''41		Q
2	Bronte Campbell	Australie	24''43		Q
3	Etiene Medeiros	Brésil	24''45		Q
4	Arianna Vanderpool-Wallace	Bahamas	24''60		
5	Chantal Van Landeghem	Canada	24''61		
6	Jeanette Ottesen-Gray	Danemark	24''62		
7	Sarah Sjoestrom	Suède	24''69		
8	Therese Alshammar	Suède	24''72		
Série 2
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	Pernille Blume	Danemark	24''28		Q
2	Cate Campbell	Australie	24''32		Q
3	Ranomi Kromowidjojo	Pays-Bas	24''39		Q
4	Simone Manuel	Etats-Unis	24''44		Q
5	Aleksandra Herasimenia	Belarus	24''53		Q
6	Abbigail Weitzeil	Etats-Unis	24''67		
7	Dorothea Brandt	Allemagne	24''71		
8	Inge Dekker	Pays-Bas	25''31
