Finale14/08/2016 					
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	J. SUMGONG	KEN	2h24'04''		
2	E. KIRWA	BRN	2h24'13''		
3	M. DIBABA	ETH	2h24'30''		
4	T. TSEGAYE	ETH	2h24'47''		
5	V. MAZURONAK	BLR	2h24'48''		
6	S. FLANAGAN	USA	2h25'26''		
7	D. LINDEN	USA	2h26'08''		
8	R. CHELIMO	BRN	2h27'36''		
9	A. CRAGG	USA	2h28'25''		
10	H. KIM	CDN	2h28'36''		
11	H. KIM	CDN	2h28'36''		
12	Y. PROKOPCHUKA	LET	2h29'32''		
13	V. STRANEO	ITA	2h29'44''		
14	K. FUKUSHI	JAP	2h29'53''		
15	G. TEJEDA	PER	2h29'55''		
16	A. FELIX	POR	2h30'39''		
17	D. LOBACEVSKE	LIT	2h30'48''		
18	M. CLARK	AUS	2h30'53''		
19	T. TANAKA	JAP	2h31'12''		
20	F. MCCORMACK	IRL	2h31'22''		
21	I. LEWANDOWSKA	POL	2h31'41''		
22	J. TRENGOVE	AUS	2h31'44''		
23	M. STEFANOWICZ	POL	2h32'49''		
24	L. MARCHANT	CAN	2h33'08''		
25	C. BERTONE	ITA	2h33'29''		
26	E. VRABCOVA-NYVLTOVA	RTC	2h33'51''		
27	L. FISIKOWICI	MOL	2h34'05''		
28	A. DIXON	GBR	2h34'11''		
29	M. NEUENSCHWANDER	SUI	2h34'27''		
30	S. SAMUELS	GBR	2h34'36''		
31	L. WEIGHTMANN	AUS	2h34'41''		
32	M. PEREZ	MEX	2h34'42''		
33	O. KOTOVSKA	UKR	2h34'57''		
34	A. DIAZ	ESP	2h35'02''		
35	K. DUCHENE	CAN	2h35'29''		
36	J. DE LA CRUZ	PER	2h35'49''		
37	R. DRAZDAUSKAITE	LIT	2h35'50''		
38	V. ZUSINAITE	LIT	2h35'53''		
39	K. YIU	HKG	2h36'11''		
40	J. DRASKAU-PETERSSON	DAN	2h36'14''		
41	B. NAIGAMBO	NAM	2h36'32''		
42	S. AHN	CDS	2h36'50''		
43	A. ORJUELA	COL	2h37'05''		
44	A. SCHERL	ALL	2h37'23''		
45	M. DAMANTSEVICH	BLR	2h37'34''		
46	M. ITO	JAP	2h37'37''		
47	V. DEJAEGHERE	BEL	2h37'39''		
48	M. HERNANDEZ	MEX	2h38'15''		
49	K. KIM	CDN	2h38'24''		
50	K. DAHMANI TIFAHI	ALG	2h38'37''		
