Finale 21/08/2016  					
Rang	Athlète	Nation	Perf.	Rec.	Qual.
1	E. KIPCHOGE	 KEN	2h08'44''		
2	F. LILESA	 ETH	2h09'54''		
3	G. RUPP	 USA	2h10'05''		
4	G. GHEBRESLASSIE	 ERY	2h11'04''		
5	A. SIMBU	 TAN	2h11'15''		
6	J. WARD	 USA	2h11'30''		
7	T. ABRAHAM	 SUI	2h11'42''		
8	M. MUTAI	 OUG	2h11'49''		
9	C. HAWKINS	 GBR	2h11'52''		
10	E. GILLIS	 CAN	2h12'29''		
11	A. NAGEEYE	 HOL	2h13'01''		
12	M. GALA	 DJI	2h13'04''		
13	L. BERHANU	 ETH	2h13'29''		
14	S. KIPROTICH	 OUG	2h13'42''		
15	P. PAULA	 BRE	2h13'56''		
16	S. SASAKI	 JAP	2h13'57''		
17	K. ÖZBILEN	 TUR	2h14'11''		
18	B. PIEDRA	 EQU	2h14'12''		
19	S. MOEN	 NOR	2h14'17''		
20	O. SITKOVSKY	 UKR	2h14'24''		
21	A. MESEL	 ERY	2h14'37''		
22	K. NAERT	 BEL	2h14'53''		
23	R. COOLSAET	 CAN	2h14'58''		
24	L. APRIL	 AFS	2h15'24''		
25	T. GOPI	 IND	2h15'25''		
26	K. RAM	 IND	2h15'26''		
27	C. PAK	 CDN	2h15'27''		
28	E. KIPLAGAT	 AZE	2h15'31''		
29	G. DONG	 CHN	2h15'32''		
30	I. OLEFIRENKO	 UKR	2h15'36''		
31	L. ADAMS	 AUS	2h16'12''		
32	P. POLLOCK	 IRL	2h16'24''		
33	M. KEFLEZIGHI	 USA	2h16'46''		
34	A. COORAY	 SRI	2h17'06''		
35	A. ULAD	 DAN	2h17'06''		
36	S. ISHIKAWA	 JAP	2h17'08''		
37	M. IONESCU	 ROU	2h17'27''		
38	R. PERTILE	 ITA	2h17'30''		
39	A. KOZLOWSKI	 POL	2h17'34''		
40	N. CUESTAS	 URU	2h17'44''		
41	P. NDHLOVU	 ZIM	2h17'48''		
42	V. ARAVENA	 CHL	2h17'49''		
43	S. MAKULA	 TAN	2h17'49''		
44	F. CAELEN	 BEL	2h17'59''		
45	R. MACHACUAY	 PER	2h18'00''		
46	R. PEREZ	 CUB	2h18'05''		
47	M. SHELLEY	 AUS	2h18'06''		
48	I. RUSS	 UKR	2h18'19''		
49	C. CASTILLEJO	 ESP	2h18'34''		
50	E. ZAMORA	 URU	2h18'36''		
51	E. MUSLU	 TUR	2h18'40''		
52	C. PACHECO	 PER	2h18'41''		
53	M. MASTROMARINO	 ARG	2h18'44''		
54	D. VARGAS	 MEX	2h18'51''		
55	P. PFLIEGER	 ALL	2h18'56''		
56	W. van SCHUERBEECK	 BEL	2h18'56''		
57	S. LA ROSA	 ITA	2h18'57''		
58	C. NYASANGO	 ZIM	2h18'58''		
59	M. DOS SANTOS	 BRE	2h19'09''		
60	T. ESTIFANOS	 ERY	2h19'12''		
61	R. FOSTI	 EST	2h19'26''		
62	A. SAAD	 TUN	2h19'50''		
63	T. NURME	 EST	2h20'01''		
64	K. SEAWARD	 IRL	2h20'06''		
65	J. ESPANA	 ESP	2h20'08''		
66	R. PACHECO	 PER	2h20'13''		
67	C. TRUJILLO	 GUA	2h20'24''		
68	A. EL HISSOUF	 MAR	2h20'29''		
69	S. RAHAUTSOU	 BLR	2h20'34''		
70	M. KAWANIVI	 NAM	2h20'45''		
71	J. FLUGEL	 ALL	2h20'47''		
72	D. KHARAZISHVILI	 GEO	2h20'47''		
73	R. KISRI	 MAR	2h21'00''		
74	M. TEFERI	 ISR	2h21'06''		
75	R. KANCYS	 LIT	2h21'10''		
76	C. KREIENBUHL	 SUI	2h21'13''		
77	M. HREZI	 LBY	2h21'17''		
78	S. DA SILVA	 BRE	2h22'05''		
79	A. RUIZ	 COL	2h22'09''		
80	J. KIPROP	 OUG	2h22'09''		
81	S. WESTCOTT	 AUS	2h22'19''		
82	G. MARIAL	 SSD	2h22'45''		
83	U. PRAMAU	 BLR	2h22'48''		
84	N. SINGH	 IND	2h23'19''		
85	M. ALMACHI	 EQU	2h23'00''		
86	I. TIAPKIN	 KIR	2h23'19''		
87	G. JOZSA	 HON	2h23'22''		
88	G. GIRALDO	 COL	2h23'48''		
89	L. MOLINA	 ARG	2h23'55''		
90	Y. KINDE	 CIO	2h24'08''		
91	DUOBUJIE	 CHN	2h24'22''		
92	S. BAT-OCHIR	 MGL	2h24'26''		
93	J. CHIPANGAMA	 ZAM	2h24'58''		
94	H. KITAJIMA	 JAP	2h25'11''		
95	L. NKOKA	 LES	2h25'13''		
96	R. ZHU	 CHN	2h25'31''		
97	S. NZIMA	 AFS	2h25'33''		
98	D. ESTRADA	 CHL	2h25'33''		
99	A. UWIRAGIYE	 RWA	2h25'57''		
100	C. HO	 TAI	2h26'00''		
101	M. KRASSILOV	 KAZ	2h26'11''		
102	D. CARVER	 MAE	2h26'16''		
103	M. CLOHISSEY	 IRL	2h26'34''		
104	H. SADI	 ALG	2h26'47''		
105	R. PRODIUS	 MOL	2h27'01''		
106	L. ORTA	 VEN	2h27'05''		
107	G. DAMBADARJAA	 MGL	2h27'42''		
108	E. YANEV	 CHL	2h27'47''		
109	G. CSERE	 HON	2h28'03''		
110	M. CUESTAS	 URU	2h28'10''		
111	V. DOPOLSKAS	 LIT	2h28'21''		
112	F. JOSEPH	 TAN	2h28'31''		
113	K. MAKOROBONDO	 RDC	2h28'54''		
114	D. HAWKINS	 GBR	2h29'24''		
115	C. NIHORIMBERE	 BUR	2h29'38''		
116	H. MEROUSIS	 GRE	2h29'39''		
117	A. KOSMAC	 SLV	2h29'48''		
118	J. GARCIA	 GUA	2h30'11''		
119	A. RISTICEVIC	 SER	2h30'17''		
120	R. RAMOS	 MEX	2h30'20''		
121	T. MOOGAS	 ISR	2h30'30''		
122	A. GUADIE	 ISR	2h30'45''		
123	R. SILVA	 POR	2h30'52''		
124	S. JAMI	 EQU	2h31'07''		
125	D. COLORADO	 COL	2h31'20''		
126	B. KARAYEL	 TUR	2h31'27''		
127	N. SOARE	 ROU	2h31'53''		
128	Y. SHEGUMO	 POL	2h31'54''		
129	M. MORADI	 IRN	2h31'58''		
130	B. TSEVEENRAVDAN	 MGL	2h36'14''		
131	M. SON	 CDS	2h36'21''		
132	M. KALOMIRIS	 GRE	2h37'03''		
133	B. SRISUNG	 THA	2h37'46''		
134	R. RIBAS	 POR	2h38'29''		
135	J. CASTELBLANCO	 PAN	"2h39'25"""		
136	D. AYALA	 PAR	"2h39'40"""		
137	F. BRUNO	 ARG	"2h40'05"""		
138	J. SHIM	 CDS	"2h42'42"""		
139	K. TAKIZAKI	 CAB	"2h45'55"""		
140	M. ABU DRAIS	 JOR	"2h46'18"""		
-	H. SZOST	 POL	DNF		
-	A. BEKELE	 BRN	DNF		
-	W. HOSNI	 TUN	DNF		
-	W. JUWAWO	 ZIM	DNF		
-	W. KORIR	 KEN	DNF		
-	S. BIWOTT	 KEN	DNF		
-	E. LAAMECHE	 ALG	DNF		
-	A. NIYONKURU	 BUR	DNF		
-	I. KORIR	 BRN	DNF		
-	T. ABERA	 ETH	DNF		
-	T. TEWELDE	 GBR	DNF		
-	T. MATHIBELLE	 LES	DNF		
-	L. GONGQA	 AFS	DNF		
-	A. PETROV	 OUZ	DNF		
-	D. MEUCCI	 ITA	DNF		
