mid,pid,performance,nom_participant,,,
1,276,21''40,Anthony Ervin,,,
1,277,21''41,Florent Manaudou,,,
1,278,21''49,Nathan Adrian,,,
1,279,21''68,Benjamin Proud,,,
1,280,21''74,Andriy Govorov,,,
1,281,21''79,Brad Tandy,,,
1,282,21''79,Bruno Fratus,,,
1,283,22''08,Simonas Bilis,,,
2,277,21''32,Florent Manaudou,,,
2,278,21''47,Nathan Adrian,,,
2,281,21''80,Brad Tandy,,,
2,284,21''88,Vladimir Morozov,,,
2,285,21''97,Santo Condorelli,,,
2,286,21''98,Kristian Gkolomeev,,,
2,287,21''99,Norbert Trandafir,,,
3,276,21''46,Anthony Ervin,,,
3,280,21''46,Andriy Govorov,,,
3,279,21''54,Benjamin Proud,,,
3,282,21''71,Bruno Fratus,,,
3,283,21''71,Simonas Bilis,,,
3,289,21''84,Luca Dotto,,,
3,290,21''89,Cameron McEvoy,,,
3,291,22''05,Italo Duarte,,,
4,292,24''07,Pernille Blume,,,
4,293,24''09,Simone Manuel,,,
4,294,24''11,Aleksandra Herasimenia,,,
4,295,24''13,Francesca Halsall,,,
4,296,24''15,Cate Campbell,,,
4,297,24''19,Ranomi Kromowidjojo,,,
4,298,24''42,Bronte Campbell,,,
4,299,24''69,Etiene Medeiros,,,
5,295,24''41,Francesca Halsall,,,
5,298,24''43,Bronte Campbell,,,
5,299,24''45,Etiene Medeiros,,,
5,300,24''60,Arianna Vanderpool-Wallace,,,
5,301,24''61,Chantal Van Landeghem,,,
5,302,24''62,Jeanette Ottesen-Gray,,,
5,303,24''69,Sarah Sjoestrom,,,
5,304,24''72,Therese Alshammar,,,
6,292,24''28,Pernille Blume,,,
6,296,24''32,Cate Campbell,,,
6,297,24''39,Ranomi Kromowidjojo,,,
6,293,24''44,Simone Manuel,,,
6,294,24''53,Aleksandra Herasimenia,,,
6,305,24''67,Abbigail Weitzeil,,,
6,306,24''71,Dorothea Brandt,,,
6,307,25''31,Inge Dekker,,,
7,313,47''58,Kyle Chalmers,,,
7,314,47''80,Pieter Timmers,,,
7,278,47''85,Nathan Adrian,,,
7,285,47''88,Santo Condorelli,,,
7,315,48''01,Duncan Scott,,,
7,316,48''02,Caleb Dressel,,,
7,290,48''12,Cameron McEvoy,,,
