code_medaille,pid
3,276
2,277
1,278
6,292
5,293
4,294
9,313
8,314
7,278
12,308
11,293
10,303
15,324
14,352
13,325
18,331
17,303
16,332
21,337
20,324
19,338
24,331
23,342
22,343
63,349
62,350
61,351
57,320
56,352
56,349
56,355
69,349
68,350
67,351
84,17
83,18
82,19
90,25
89,26
88,24
96,17
95,26
94,19
153,430
152,431
151,432
150,382
149,383
148,384
159,430
158,434
157,431
156,382
155,383
154,390
165,441
164,442
163,443
162,396
161,397
160,393
288,29
287,30
286,31
195,459
194,460
193,461
198,449
197,450
196,451
303,9
302,10
301,12
300,1
299,2
298,4
315,470
314,471
313,472
321,473
320,474
319,475
330,476
329,477
328,478
351,479
350,480
349,481
375,482
374,483
373,484
384,485
383,486
382,487
393,488
392,489
391,490
411,491
410,492
409,493
417,494
416,495
415,496
426,497
425,498
424,499
432,500
431,501
430,502
444,503
443,504
442,505
442,506
450,507
449,508
448,509
448,510
456,511
455,512
454,513
454,514
126,515
125,516
124,517
471,518
470,519
469,520
477,521
476,522
475,523
489,524
488,525
487,526
495,527
494,528
493,529
510,530
509,531
508,532
519,533
518,534
517,535
528,536
527,537
526,538
531,539
530,540
529,541
540,542
539,543
538,544
543,545
542,546
541,547
