1,ATHLETISME
2,AVIRON
3,BMX
4,BADMINTON
5,BASKET
6,BEACH-VOLLEY
7,BOXE
8,CANOE-KAYAK
9,CYCLISME SUR PISTE
10,CYCLISME SUR ROUTE
11,EQUITATION
12,ESCRIME
13,FOOTBALL
14,GOLF
15,GYMNASTIQUE ARTISTIQUE
16,GYMNASTIQUE RYTHMIQUE
17,HALTEROPHILIE
18,HANDBALL
19,HOCKEY SUR GAZON
20,JUDO
21,LUTTE GRECO-ROMAINE
22,LUTTE LIBRE
23,NATATION
24,NATATION EN EAU LIBRE
25,NATATION SYNCHRONISEE
26,PENTATHLON MODERNE
27,PLONGEON
28,RUGBY A VII
29,TAEKWONDO
30,TENNIS
31,TENNIS DE TABLE
32,TIR
33,TIR A L’ARC
34,TRAMPOLINE
35,TRIATHLON
36,VTT
37,VOILE
38,VOLLEY-BALL
